Date_created,Comment,review
2021-03-09 20:45,Cero000000. .periodista pésimo y títere de cartón. .. tipo que cae mal??????,neg
2021-03-09 20:45,Diez.,pos
2021-03-09 20:46,Diez,pos
2021-03-09 20:46,Cero,neg
2021-03-09 20:47,Diez,pos
2021-03-09 20:48,Debe tener sus modificaciones pero es necesaria.,pos
2021-03-09 20:48,Diez,pos
2021-03-09 20:50,Pésima,neg
2021-03-09 20:50,Se pude dar cero En serio ???????,neg
2021-03-09 20:50,Cero,neg
2021-03-09 20:51,cero 0,neg
2021-03-09 20:51,Es un desastre. Pura manipulación y veneno. Es arrogante y nada sensible,neg
2021-03-09 20:51,Diez,pos
2021-03-09 20:51,No me gusta para nada,neg
2021-03-09 20:52,Buena,pos
2021-03-09 20:52,Diez,pos
2021-03-09 20:53,Muy buena y necesaria para ubicar a algunos y para aclararle la mente a otros. También para mantenernos informados.,pos
2021-03-09 20:55,Diez puntos  Excelente  Coj..... ,pos
2021-03-09 20:55,"Diez. Necesaria e instructiva, y tan esclarecedora que unos cuantos han intentado atacarle personalmente para desacreditar lo que dice, y, consecuentemente con ello, muchos intentarán incluso ridiculizar este comentario.??",pos
2021-03-09 20:57,"En serio Pésima, supuestamente nosotros no le hacemos el juego a la prensa amarillista pero este dime que te diré que están formando en el noticiero es ridículo",neg
2021-03-09 20:57,Muy buena,pos
2021-03-09 20:59,Una mierda,neg
2021-03-09 21:00,"Me parece un poco exagerado , excesivo al expresar con tantos gestos y esa manera tan enfática. Ni el 1pto ni el Diez",neg
2021-03-09 21:00,Diez,pos
2021-03-09 21:01,Me parece una clase de secundaria muy aburrida ??muy masticado y rebuscados los temas..,neg
2021-03-09 21:03,La verdad me gusta...así q un 9 está bien.,pos
2021-03-09 21:04,"Pienso que se le da demasiada importancia a los chismes y enredos, me parece que debe ser más escueto, habla demasiado y aburre un poco, pero la información está bien.",neg
2021-03-09 21:06,Muy buena,pos
2021-03-09 21:08,Mojonaldo ,neg
2021-03-09 21:08,"Si existe la Mesa Redonda por qué esa sección en el NTV. Especialistas en los temas que se abordan explicarian mejor, sin exceso de arrogancia y muecas que nada aportan.",neg
2021-03-09 21:09,Deberían incluir el 0 o los números negativos  para calificar a semejante energúmeno...???????,neg
2021-03-09 21:09,En ocasiones se cometen errores,pos
2021-03-09 21:09,Muy buena.,pos
2021-03-09 21:09,"Pues algo poco profesional, no hay debate de ningun tipo, es solo una exposición q en algunos momentos  rosa lo ridículo y me hace preguntarme si vivo en la misma realidad. No quito q sean validos sus argumentos, pero lo q tienen q decir todas las partes es importante además tantos temas importantísimos para discutir pero se elijen a interés no se de quién. En fin, nada relevante. Dentro de unos meses nadie recordará esta sección, porque es más de lo mismo.",neg
2021-03-09 21:10,0. Una persona q tiene como premisa la manipulación no merece punto alguno. ,neg
2021-03-09 21:10,Un poco mas de lo mismo....... verborrea sin sentido,pos
2021-03-09 21:10,3. No le gusta,pos
2021-03-09 21:10,números negativos 000000000000000000,neg
2021-03-09 21:11,"Magnifica, de Diez Muy necesaria en estos tiempos donde intentan confundirnos.  Y donde se hace necesario esclarecer sobre todos nuestros procesos internos.",pos
2021-03-09 21:12,"Yo creo q es buena pero no para hacerla en el noticiero, sinó en otro espacio televisivo. ",pos
2021-03-09 21:12,Del 1pto al 1ptoCero números negativos 00Cero en números negativos ,neg
2021-03-09 21:13,"?????? No puedo creer que hagan esta encuesta, en serio jajaja pero en serio jajaja. Haaaaaaaber las marionetas del programa ""arcoiris musical"" se acuerdan , jajaja estaban menos manipuladas que esta regadera de conflictos entre los cubanos. Porque no organizo una reflexión sobre el nieto de Fidel Castro en un Mercedes heee jajaja Ho mejor porque no habla de los paraísos fiscales que tienen quienes ustedes saben ??????de los que todos tenemos conocimiento. Mmm porque no habla de los lavados de dinero huuuuy perdón ????? quise decir los negocios que tienen en la habana los hijos de los altos funcionarios del país mmm , saben porque no habla de eso  porque es una marionetas acomodada... Haaaaaa y una última cosita que casi se me olvida jejeje PATRIA Y VIDA",neg
2021-03-09 21:15,Lo peor de la televisión cero 0 sin mas comentarios,neg
2021-03-09 21:15,En números negativos ,neg
2021-03-09 21:15,"Tremenda basura, da asco...",neg
2021-03-09 21:16,Lo Evaluo de Mercenario pagado y Manipulado x el PCC q solo informa cuando más la verdad a medias según le convenga a sus Amos del PCC para seguir adoctrinamiento y desinformando al Pueblo de Cuba ,neg
2021-03-09 21:17,"Excelente, oportuna, necesaria. Denigrado al máximo por los que no les conviene ser descaracterizados,  desmontados. La parte revolucionaria del pueblo dice sí, que es la gran mayoría, por eso él nos representa y debe seguir...",pos
2021-03-09 21:17,Pésima. Una burla para los profesionales del periodismo y para cualquier ciudadano con buen sentido.,neg
2021-03-09 21:18,Diez,pos
2021-03-09 21:18,"Porque siempre batea de un solo lado, de una sola visión... Una trompa por la cara es lo que merece a ver si abre los ojos...las cosas deben ser equilibradas...",pos
2021-03-09 21:22,Yo solo puedo comentar que pongan en una balanza los dos tipos de crítica que generó esta encuesta y que sin dudas me coloquen en la que más votos generó. Que leyendo los comentarios ya se cuál será. ????,pos
2021-03-09 21:22,Asquerosa,neg
2021-03-09 21:22,-5,neg
2021-03-09 21:23,Maritza Alvarez Leyva concuerdo.,pos
2021-03-09 21:23,Impeorable,neg
2021-03-09 21:24,Yo no le doy ni un 0 porque es tan pesaito uff cada vez que lo ponen apago el tv ya no lo soportooooooooo es arrogante mira que es el periodista mas bomba de toda cuba un batidito de plomooooooo,neg
2021-03-09 21:25,El man es anticarismático,neg
2021-03-09 21:25,"??????????????????????????????????????????????????????????????????????????????????????????????????????????.SABEN PORQUE OPINO ESTO,PORQUE INSISTA A LA DISCRMINACION Y ODIO ENTRE CUBANOS, Y RIDICULIZA O HUMILLA,ESO DENIFRA AL SER HUMANO Y LO DEFINE COMO LO QUE ES UN PÉSIMO SER.",neg
2021-03-09 21:25,Genial muchísimo mas que Diez.,pos
2021-03-09 21:26,"Si 1pto es el mínimo, pues 1pto. Es una sección pésima, que viola todos los estándares éticos del periodismo. Que miente, manipula, difama, que moviliza al odio entre cubanos, que incluso, para los estándares del periodismo oficial, que no son muy buenos, es una vergüenza, como saben la mayoría de los profesionales del gremio. Incluso comete delitos como hacer públicas conversaciones personales. Ha llegado al punto de presentar los rostros de menores de edad vestidos de presos. O sea, cosas graves que en cualquier país democrático lo llevarían ante un tribunal aunque él solo sea una marioneta de poderes superiores, pero tiene responsabilidad. En ese mismo nivel pueden poner el trabajo de Lázaro Manuel Alonso, que al final ambos son lo mismo, los voceros de turno que la Seguridad del Estado ha designado para hacer este trabajo.",neg
2021-03-09 21:26,"Extraordinaria. Lo que creo debe cambiar el pelado, ponerse una camiseta y un piercing",pos
2021-03-09 21:26,3,pos
2021-03-09 21:27,la mejor,pos
2021-03-09 21:27,1pto 1pto... ????,neg
2021-03-09 21:28,"Excelente, Diez puntos.",pos
2021-03-09 21:29,"Ni un 1pto le diera, por mentiroso, lo demás lo dejo a la prensa independiente para q lo descuartice.",neg
2021-03-09 21:29,Cero,neg
2021-03-09 21:29,Repugnante. ,neg
2021-03-09 21:29,"Excelente, Diez... Por eso hay a quien le duele... necesaria además.",pos
2021-03-09 21:30,"Una canción fue la que provocó la guerra de Libia, ya lo de hoy llegó a niveles de absurdo total. Una cosa es que se use la música como catalizador de un proceso subversivo y otra es que una canción de la nada tumbe un sistema estable. La música la han usado como arma de lucha movimientos sociales de todos los signos políticos. ",pos
2021-03-09 21:30,"Cómo periodista tiene números negativos 00 puntos y como payaso le doy 200. Solo veo el NTV por él, para morirme de la risa cada vez que abre la boca. La verdad, suelta cada estúpides que ya nadie le cree solo sirve para reinos. Cómo humorista tiene la vida garantizada. Para mí se equivocó de profesión.",neg
2021-03-09 21:31,"A su estilo consigue una exposición clara y verosímil de los argumentos, aún para quienes no les resulta conveniente que se expongan a la luz pública e intentan deslegitimar al presentador; pero todo el mundo con dos dedos de frente sabe que  1. sus contenidos son fruto de un trabajo en equipo 2. no se trata de discrepancias personales de ese presentador con otras personas, sino de una reacción defensiva de un estado frente a la estrategia ofensiva de otro estado extranjero, que es una gran potencia mundial  3. es público y notorio que el Congreso de EEUU destina millones de dólares del presupuesto oficial del gobierno para financiamiento de organizaciones y acciones dirigidas a un cambio del sistema político en Cuba 4. existe una ley de EEUU Helms Burton que establece todo el procedimiento a seguir por el gobierno de aquel país, para encargarse de un cambio de sistema en Cuba",pos
2021-03-09 21:32,números negativos 0,neg
2021-03-09 21:32,Excelente,pos
2021-03-09 21:34,Para mi ese no es ni periodista. No pierdo mi tiempo en escuchar ninguna de sus mentiras. 0000000000000000 ????????????????????????????????????????????,neg
2021-03-09 21:34,Oscar Letrán Quiñones ciberclaria ,neg
2021-03-09 21:35,Necesaria. Para mi tiene Diez.,pos
2021-03-09 21:35,Me baja la presión la cantidad de mentiras que dice.,neg
2021-03-09 21:36,"Cero pero para encajar en su escala, 1pto.",neg
2021-03-09 21:36,1pto   No puede ser peor.,neg
2021-03-09 21:37,"Ya que no puede ser menos, pues entonces 1pto. Un periodismo que no se fundamenta en la ética, sino que se realiza desde una posición soberbia y hasta despótica, que parcializa y divide a la ciudadanía y la Nación no tiene mi beneplácito. Saludos.",neg
2021-03-09 21:38,Una pieza de la sección de difamación,neg
2021-03-09 21:38,Maritza Alvarez Leyva para que haya mundo tiene que haber estupidos tambien...,neg
2021-03-09 21:38,"Me parece una burla a la inteligencia de la mayoría de los pensantes...para dar y juzgar una información la academia te pide los 2 discursos de ambos lados...no solo el institucional. Periodismo de investigación es una cosa y lo que hace otra. Todos los medios manipulan fé acuerdo a intereses de quien dirige... pero la manipulación debe ser sobre fundamentos verídicos y al errar en el principal aspecto...no creíble...cada vez que sale bajo el volumen...su voz, su tono no es periodístico, es inquisitivo.",neg
2021-03-09 21:38,"Muy bueno, no sabia que en el NTV tenian una seccion humoristica, que sigua asi tremendo comico",neg
2021-03-09 21:39,Fabio Ochoa Cuba y porque no da derecho a réplica Porque no lleva a su programa a las personas de las que difama Yo estoy en Cuba no en China ,neg
2021-03-09 21:39,Patético. ,neg
2021-03-09 21:40,Para calificar al Sr.Pototo debemos tener en cuenta varios puntos 1pto Hace su difamación de acuerdo al guión o suele improvisar sobre la marcha. 2 Las expresiones faciales son naturales o las ensaya en calzoncillos cuando sale del baño. 3 El mismo se escoge la corbata ,neg
2021-03-09 21:40,"Cero ni el 1pto se merece,muy arrogante, poco profesional, lo peor del periodismo cubano.",neg
2021-03-09 21:40,"Es pésimo, sus reportajes son difamatorios y no da derecho a réplica, le doy un 1pto porque no entra el 0 de desaprobado. ",neg
2021-03-09 21:41,-50,neg
2021-03-09 21:41,Fabio Ochoa Cuba sabias que verosímil quiere decir que se parece a la verdad pero que no es verdad... Precisamente esa parece ser la descripción de las presentaciones de ese señor. ,pos
2021-03-09 21:41,Pues si hay que decir un número sería 1pto.... no bastan las palabras para describir tanto absurdo ,neg
2021-03-09 21:42,Cero,neg
2021-03-09 21:42,"Si el hablara la verdad verdadera, quiza su voz pudiera ser algo quemadora, pero ya que solo lee los guiones de los capitanes de Villa Marista es un magnífico lector de telempromter.",pos
2021-03-09 21:43,Me es muy útil sus comentarios........ ahorro electricidad.,pos
2021-03-09 21:43,Para mí la evaluación es de 1pto. Para nada necesaria ni convincente su forma de de analizar las cosas.,neg
2021-03-09 21:44,números negativos 00,neg
2021-03-09 21:44,un manipulador con voz de animador turístico ,neg
2021-03-09 21:45,Ni evaluarse merece. Incalificable ,neg
2021-03-09 21:45,"Mala. Cero. Es contraproducente. Ojala este centro pueda hacer algo para que paren esta sección. Está haciendo mas daño del que se pueda imaginar la dirección del NTV y otras ""direcciones""",neg
2021-03-09 21:45,-?,neg
2021-03-09 21:46,Le daría un -4,neg
2021-03-09 21:46,1pto ,neg
2021-03-09 21:46,1pto ,neg
2021-03-09 21:47,"Una reverenda ??, no creo ni media palabra, es como ir a un juicio y solo oir a la fiscalia y sensurar completamente a la defensa, no soy tan estupido como para sacar conclusiones de esa forma.....cdo lo ponen, apago la TV, asi ahorro????.",neg
2021-03-09 21:47,1pto ,neg
2021-03-09 21:47,"Aquí están todos los que suspendían en la escuela por no leer bien las preguntas. Dice ""del 1pto al Diez"", no ""redacte una composición donde exponga su opinión...""",neg
2021-03-09 21:48,"Me gustaría que sacaran esa sección del noticiero y fuera un programa aparte en el que entrevistaran a las personas d las cuales él ha hablado en su sección.  Qué se escucharan las dos partes, no solo a Humberto. Con respecto a la encuesta, le doy un 1pto.",neg
2021-03-09 21:48,"Un mentiroso, es una marioneta de la dictadura, solo repite como papagallo las mentiras que le escriben en el reproductor, este tipejo de periodista no tiene ni la P. 0 putos a esta escoria.",neg
2021-03-09 21:48,1pto  a duras penas. Merecería ser descalificado por violar todas las normas mínimas de la ética periodística. ,neg
2021-03-09 21:49,"No le den mas publicidad, ignorarlo y cambien el canal",pos
2021-03-09 21:49,Un meme,pos
2021-03-09 21:49,1pto pero creo que se merece 0,neg
2021-03-09 21:49,Cero,neg
2021-03-09 21:50,Pésimo ??????,neg
2021-03-09 21:50,"Asco de sección, cubano q vive en cuba y no es pagado x la cia",neg
2021-03-09 21:50,Magleny ciberclaria,neg
2021-03-09 21:50,1pto ,neg
2021-03-09 21:50,Muy buena.... Secciones como stas tienen q estar en el NTV... ,pos
2021-03-09 21:50,Como papagayo tiene Diez% Como periodista  0  ??,neg
2021-03-09 21:51,"Cuando hagan un programa en vivo e inviten a las personas de las cual el difama y debatan civilizadamente para oir ambas opiniones, entonces yo podria formar una opinion...se atreverian, o mejor digo, lo dejarian hacer pq el es solo un vocero.",neg
2021-03-09 21:51,"él en decir mentiras, manipular información y difamar tiene un Diez de Diez. Pésimo su trabajo como reportero.",neg
2021-03-09 21:51,Ernesto Wong García es que no especifican del 1pto al Diez que Camarones Mercedes Benz Cagarrutas ,neg
2021-03-09 21:52,Yo le doy un Diez. Es increíble. Nunca he visto a nadie con esa gran cualidad de hablar Diez0 carretones de mierda por segundo desde una boca. Asca ???? es lo que da.,neg
2021-03-09 21:52,Un 1pto. Mal,neg
2021-03-09 21:52,Iba a comentar pero mis amigos y amigas hicieron zafra por allá arriba ??,pos
2021-03-09 21:53,Fabio Ochoa Cuba ese pelele es un insulto a la inteligencia solamente como habla y trata de explicar como si el televidente tuviera 6 años de edad ???? por dios ,neg
2021-03-09 21:53,1pto ,neg
